"AsTyped","CanonicalName","Why"
"Melanosis","=KEEP=","Louis 15 Aug 2026: melanosis and melanoma are two different diseases. Never merge."
"Melanoma","=KEEP=","Louis 15 Aug 2026: melanosis and melanoma are two different diseases. Never merge."
"FMD","=KEEP=","Louis 15 Aug 2026: leave FMD as it is. Contact carcass, clinical signs and lesions are not the same case."
"FMD protocol","=KEEP=","FMD variants stay as written"
"FMD signs","=KEEP=","FMD variants stay as written"
"FMD lesions","=KEEP=","FMD variants stay as written"
"FMD clinical signs","=KEEP=","FMD variants stay as written"
"FMD contact carcasses high pH","=KEEP=","FMD variants stay as written"
"State Controlled Diseases (FMD)","=KEEP=","FMD variants stay as written"
"State Control Disease (FMD)","=KEEP=","FMD variants stay as written"
"Brucellosis (suspect)","=QUERY=","Louis 15 Aug 2026: Brucellosis on a Schedule 8 means a CONDEMNED animal. A suspect case is reported through a different channel, so this entry does not belong in a condemnation return at all. Flag it, do not count it as Brucellosis."
"Lumpy skin disease","Lumpy Skin Disease","official name per Animal Diseases Act 35 of 1984; the form uses lower case"
"Lumpy Skin Disease ","Lumpy Skin Disease","trailing space"
"Lumpy Skin","Lumpy Skin Disease","short form"
"Lumpy skin disesase","Lumpy Skin Disease","spelling"
"Suspect lumpy skin","=QUERY=","suspect, not confirmed. Same rule as Brucellosis (suspect): a suspect case is reported through a different channel and must not be folded into the confirmed count of a notifiable disease."
"Suspect LSD","=QUERY=","suspect, not confirmed. See Suspect lumpy skin."
"EBL","Enzootic Bovine Leukosis","abbreviation"
"IBL","Enzootic Bovine Leukosis","abbreviation, I for E"
"BLV","Enzootic Bovine Leukosis","bovine leukaemia virus"
"BVL","Enzootic Bovine Leukosis","transposed BLV"
"Leukosis","Enzootic Bovine Leukosis","short form"
"Bovine Leukosis","Enzootic Bovine Leukosis","short form"
"Bovine Leukosis ","Enzootic Bovine Leukosis","short form, trailing space"
"Bovine Leukosis Virus","Enzootic Bovine Leukosis","short form"
"Enzootic Bovine Leukosis","Enzootic Bovine Leukosis","already correct, not on the form"
"Enzootic  Bovine Leukosis","Enzootic Bovine Leukosis","double space"
"Enzootic bovine leucosis","Enzootic Bovine Leukosis","spelling"
"Enzootic Bovine Lecosis","Enzootic Bovine Leukosis","spelling"
"Enzootis Bivine Leucosis","Enzootic Bovine Leukosis","spelling"
"Emaciation","Cachexia","emaciation is the form term Cachexia"
"Ematiation","Cachexia","spelling"
"Emarciation","Cachexia","spelling"
"Emanciation","Cachexia","spelling"
"Edema","Oedema","US spelling"
"Emphesema","Emphysema","spelling"
"Emphasema","Emphysema","spelling"
"myositis","Myositis","case"
"Miositis","Myositis","spelling"
"My0sitis","Myositis","zero for o"
"TB","Tuberculosis","abbreviation"
"Tyberculosis","Tuberculosis","spelling"
"Brucellose","Brucellosis (in all animal species)","spelling"
"Uremia","Uraemia","US spelling"
"Anemia","Anaemia","US spelling"
"Abscessation","Abscessations","singular"
"Fasciolis","Fascioliasis","spelling"
"Lumphedenitis","Lymphadenitis","spelling"
"WCS","Wet Carcase Syndrome","abbreviation"
"Scrotal Sepcis","Scrotal Sepsis","spelling"
"Scrotis sepsis","Scrotal Sepsis","spelling"
"Feacal Contamination","Faeces Contamination","spelling"
"Feceal","Faeces Contamination","spelling"
"ODOR","Odour","US spelling, case"
"odor","Odour","US spelling"
"Oudor","Odour","spelling"
"Abnormal odour","Odour","same thing"
"Fractute","Fracture","spelling"
"Pelvis farcture","Fracture","spelling"
"Muscle degenereation","Muscle degeneration","spelling"
"Tumors","Tumour","US spelling, plural"
"Autolisys","Autolysis","spelling"
"Bloating","Bloat","same thing"
"Mould growth","Mouldy growth","same thing"
"Mouldy","Mouldy growth","same thing"
"Injection","Injection mark","same thing"
"Injection marks","Injection mark","plural"
"Fresh Injection","Injection mark","same thing"
"Antibiotics administered","Antibiotic residue","same thing"
"Residue Antibiotics","Antibiotic residue","word order"
"Medication administration","Medication Administered","same thing"
"Raw Milk Contamination","Contamination-Raw milk","word order"
"Bile Contamination","Bile","same thing"
"PSE prone","PSE","same thing"
"Pale Soft Exudative PSE","PSE","written out"
"Spinal Abcess","Spinal Abscess","spelling"
"Emergency","Emergency Slaughter","same thing"
"Line break down","Machine failure","same thing"
"Breakdown","Machine failure","same thing"
"Failure","Machine failure","same thing"
"Metritis","Septic Metritis","same thing"
